Unique ID,Vulnerabilities
11,"CVE-2008-2939, CVE-2012-0027, CVE-2017-9798, CVE-2004-1082, CVE-2013-4365, CVE-2006-7250, CVE-2016-2176, CVE-2006-5752, CVE-2023-31122, CVE-2009-0796, CVE-2011-4108, CVE-2011-4109, CVE-2007-4723, CVE-2010-4252, CVE-2006-3918, CVE-2011-2688, CVE-2009-3555, CVE-2016-0703, CVE-2015-3195, CVE-2021-4044, CVE-2012-0884, CVE-2007-6388, CVE-2021-44790, CVE-2016-2109, CVE-2016-2108, CVE-2016-2107, CVE-2016-2106, CVE-2009-0789, CVE-2014-0195, CVE-2009-3245, CVE-2011-4317, CVE-2021-34798, CVE-2001-1556, CVE-2007-3304, CVE-2003-0987, CVE-2007-4995, CVE-2011-3210, CVE-2022-28330, CVE-2022-31813, CVE-2012-4360, CVE-2014-0221, CVE-2010-0433, CVE-2015-0286, CVE-2010-0742, CVE-2010-5298, CVE-2004-0940, CVE-2003-0993, CVE-2004-0942, CVE-2006-3747, CVE-2010-4180, CVE-2012-1165, CVE-2014-8275, CVE-2009-4355, CVE-2022-22719, CVE-2022-30556, CVE-2021-39275, CVE-2011-4577, CVE-2011-4576, CVE-2013-2765, CVE-2023-38709, CVE-2011-1945, CVE-2022-29404, CVE-2004-0174, CVE-2011-3368, CVE-2009-0590, CVE-2014-3505, CVE-2014-3506, CVE-2014-3507, CVE-2014-0224, CVE-2009-3766, CVE-2009-3767, CVE-2009-3765, CVE-2014-3508, CVE-2022-22721, CVE-2022-22720, CVE-2009-1378, CVE-2014-3567, CVE-2004-0263, CVE-2015-0228, CVE-2009-1377, CVE-2021-40438, CVE-2011-1176, CVE-2007-5000, CVE-2008-5077, CVE-2015-0209, CVE-2018-1301, CVE-2018-1302, CVE-2018-1303, CVE-2013-0166, CVE-2014-3470, CVE-2013-0169, CVE-2015-0204, CVE-2007-6750, CVE-2014-3571, CVE-2014-3570, CVE-2014-3572, CVE-2008-0166, CVE-2010-0010, CVE-2007-5135, CVE-2015-0287, CVE-2024-40898, CVE-2015-0289, CVE-2015-0288, CVE-2016-7056, CVE-2014-3510, CVE-2014-0076, CVE-2013-5697, CVE-2015-1789, CVE-2015-1788, CVE-2009-2409, CVE-2009-1390, CVE-2005-3352, CVE-2014-8176, CVE-2012-3526, CVE-2011-4354, CVE-2014-3566, CVE-2016-8612, CVE-2017-3735, CVE-2009-2299, CVE-2014-3568, CVE-2012-2333, CVE-2015-0292, CVE-2015-0293, CVE-2012-4001, CVE-2022-37436, CVE-2007-3108, CVE-2017-9788, CVE-2015-1790, CVE-2015-1791, CVE-2015-1792, CVE-2003-0542, CVE-2012-2110, CVE-2004-2343, CVE-2009-1386, CVE-2009-1387, CVE-2015-4000, CVE-2013-0941, CVE-2013-0942, CVE-2008-7270, CVE-2013-6449, CVE-2011-4619, CVE-2020-7042, CVE-2020-7043, CVE-2020-7041, CVE-2004-0492, CVE-2003-0020, CVE-2006-20001, CVE-2011-1473, CVE-2022-28615, CVE-2022-28614, CVE-2016-0704"
12,"CVE-2021-21707, CVE-2024-3566, CVE-2022-31628, CVE-2022-31629, CVE-2022-31626, CVE-2022-31625, CVE-2017-9118, CVE-2022-31630, CVE-2022-37454, CVE-2024-25117, CVE-2017-8923, CVE-2021-21705, CVE-2021-21704, CVE-2021-21703, CVE-2013-2220, CVE-2022-4900, CVE-2024-5458, CVE-2017-9120, CVE-2021-21706, CVE-2007-3205, CVE-2021-21708"
13,"CVE-2014-2324, CVE-2014-2323, CVE-2010-0295, CVE-2018-19052, CVE-2013-4559, CVE-2015-3200, CVE-2019-11072, CVE-2011-4362, CVE-2013-4560, CVE-2013-1427"
14,"CVE-2014-2324, CVE-2014-2323, CVE-2018-19052, CVE-2013-4559, CVE-2015-3200, CVE-2019-11072, CVE-2013-4508, CVE-2013-4560, CVE-2012-5533"
15,"CVE-2014-2324, CVE-2014-2323, CVE-2010-0295, CVE-2018-19052, CVE-2013-4559, CVE-2015-3200, CVE-2019-11072, CVE-2011-4362, CVE-2013-4560, CVE-2013-1427"
16,"CVE-2014-2324, CVE-2014-2323, CVE-2010-0295, CVE-2018-19052, CVE-2013-4559, CVE-2015-3200, CVE-2019-11072, CVE-2011-4362, CVE-2013-4560, CVE-2013-1427"
17,"CVE-2018-10549, CVE-2018-10548, CVE-2018-10545, CVE-2018-10547, CVE-2018-10546, CVE-2015-0231, CVE-2015-0232, CVE-2016-2176, CVE-2016-3171, CVE-2016-5773, CVE-2016-5772, CVE-2016-5771, CVE-2016-5770, CVE-2018-20783, CVE-2011-2688, CVE-2021-32786, CVE-2021-32785, CVE-2016-4070, CVE-2016-2109, CVE-2016-2108, CVE-2016-2107, CVE-2016-2106, CVE-2017-8923, CVE-2014-9427, CVE-2016-6174, CVE-2018-5712, CVE-2018-5711, CVE-2014-2020, CVE-2016-9137, CVE-2015-6831, CVE-2015-6832, CVE-2015-6833, CVE-2015-6834, CVE-2015-6835, CVE-2015-6836, CVE-2015-6837, CVE-2015-6838, CVE-2018-19520, CVE-2016-7478, CVE-2017-7890, CVE-2014-0207, CVE-2018-17082, CVE-2016-1903, CVE-2013-7456, CVE-2013-7327, CVE-2013-1635, CVE-2017-12868, CVE-2018-14883, CVE-2015-4604, CVE-2014-8142, CVE-2017-7963, CVE-2022-30556, CVE-2014-3587, CVE-2015-1351, CVE-2015-1352, CVE-2011-3368, CVE-2011-1148, CVE-2009-3766, CVE-2009-3767, CVE-2009-3765, CVE-2022-22721, CVE-2022-22720, CVE-2017-9226, CVE-2017-9224, CVE-2016-5093, CVE-2016-6288, CVE-2016-6289, CVE-2014-3478, CVE-2018-1301, CVE-2018-1302, CVE-2018-1303, CVE-2014-3470, CVE-2015-0204, CVE-2014-3571, CVE-2014-3570, CVE-2014-3572, CVE-2013-6712, CVE-2015-6497, CVE-2014-3670, CVE-2019-9641, CVE-2011-4317, CVE-2024-25117, CVE-2009-4418, CVE-2014-2270, CVE-2016-4537, CVE-2009-2299, CVE-2016-4538, CVE-2016-4539, CVE-2015-0292, CVE-2015-0293, CVE-2020-11579, CVE-2011-3268, CVE-2015-4644, CVE-2012-2386, CVE-2015-4643, CVE-2013-2765, CVE-2011-4619, CVE-2013-0941, CVE-2013-0942, CVE-2013-6449, CVE-2014-5459, CVE-2016-6295, CVE-2022-28330, CVE-2012-2311, CVE-2014-2497, CVE-2016-8670, CVE-2011-3182, CVE-2016-0703, CVE-2016-0704, CVE-2006-7243, CVE-2021-4044, CVE-2022-22719, CVE-2016-5766, CVE-2016-5767, CVE-2016-5768, CVE-2016-5769, CVE-2012-2143, CVE-2012-1171, CVE-2012-1172, CVE-2019-9639, CVE-2019-9638, CVE-2013-2220, CVE-2019-9637, CVE-2012-4360, CVE-2015-4601, CVE-2015-4600, CVE-2015-4603, CVE-2015-4602, CVE-2015-4605, CVE-2011-1153, CVE-2011-4718, CVE-2014-9912, CVE-2014-0237, CVE-2014-0236, CVE-2016-5096, CVE-2011-0419, CVE-2016-5094, CVE-2016-5095, CVE-2016-4543, CVE-2016-4542, CVE-2016-4541, CVE-2016-4540, CVE-2014-0238, CVE-2016-5399, CVE-2016-3167, CVE-2021-39275, CVE-2016-4343, CVE-2011-4577, CVE-2011-4576, CVE-2015-4642, CVE-2015-4116, CVE-2015-8865, CVE-2014-9705, CVE-2016-10712, CVE-2015-5589, CVE-2016-9138, CVE-2015-4599, CVE-2011-0708, CVE-2015-4598, CVE-2016-7132, CVE-2016-7131, CVE-2016-7130, CVE-2007-6750, CVE-2015-4021, CVE-2015-4022, CVE-2015-4025, CVE-2015-4024, CVE-2015-4026, CVE-2016-10158, CVE-2016-10159, CVE-2015-0209, CVE-2012-3365, CVE-2014-3487, CVE-2015-1788, CVE-2014-3480, CVE-2009-1390, CVE-2014-3566, CVE-2014-3567, CVE-2014-3568, CVE-2015-3329, CVE-2022-4900, CVE-2013-2110, CVE-2012-0031, CVE-2017-9788, CVE-2017-11142, CVE-2016-9933, CVE-2020-7042, CVE-2020-7043, CVE-2020-7041, CVE-2011-1470, CVE-2022-28615, CVE-2022-28614, CVE-2017-7272, CVE-2011-2202, CVE-2024-3566, CVE-2016-7418, CVE-2016-7414, CVE-2016-7416, CVE-2016-7417, CVE-2016-7411, CVE-2016-7412, CVE-2016-7413, CVE-2011-0421, CVE-2012-2688, CVE-2010-4252, CVE-2015-8994, CVE-2015-2348, CVE-2015-8838, CVE-2015-8835, CVE-2007-4723, CVE-2012-1823, CVE-2014-0195, CVE-2013-1824, CVE-2013-6420, CVE-2022-31628, CVE-2022-31629, CVE-2015-2783, CVE-2015-2787, CVE-2015-3411, CVE-2016-9934, CVE-2017-11143, CVE-2015-3412, CVE-2017-11145, CVE-2017-11144, CVE-2017-11147, CVE-2011-4415, CVE-2011-1939, CVE-2011-1398, CVE-2010-5298, CVE-2014-4670, CVE-2014-3515, CVE-2011-3192, CVE-2011-1945, CVE-2022-29404, CVE-2016-3185, CVE-2016-3141, CVE-2007-3205, CVE-2014-0221, CVE-2011-3607, CVE-2014-0224, CVE-2011-1468, CVE-2013-4635, CVE-2015-9253, CVE-2014-3981, CVE-2019-6977, CVE-2015-8873, CVE-2015-8877, CVE-2011-2483, CVE-2015-8879, CVE-2014-9425, CVE-2013-1862, CVE-2014-9426, CVE-2015-1789, CVE-2024-40898, CVE-2016-7056, CVE-2018-15132, CVE-2016-10161, CVE-2016-7124, CVE-2016-7125, CVE-2016-7126, CVE-2016-7127, CVE-2014-0076, CVE-2016-7128, CVE-2016-7129, CVE-2011-3267, CVE-2017-11628, CVE-2014-8275, CVE-2017-12933, CVE-2012-3526, CVE-2014-9767, CVE-2015-2331, CVE-2017-3735, CVE-2012-2336, CVE-2012-4001, CVE-2016-5114, CVE-2015-1790, CVE-2015-1791, CVE-2015-1792, CVE-2016-4342, CVE-2015-0228, CVE-2015-3330, CVE-2015-3195, CVE-2016-3142, CVE-2012-0027, CVE-2017-9798, CVE-2013-4365, CVE-2013-4248, CVE-2021-32791, CVE-2021-32792, CVE-2023-31122, CVE-2009-0796, CVE-2011-4108, CVE-2011-1469, CVE-2011-1466, CVE-2011-1467, CVE-2011-1464, CVE-2015-4148, CVE-2015-8935, CVE-2015-4147, CVE-2009-3555, CVE-2012-0057, CVE-2023-38709, CVE-2012-0053, CVE-2021-44790, CVE-2018-14851, CVE-2013-6501, CVE-2013-1643, CVE-2021-34798, CVE-2014-3668, CVE-2011-4885, CVE-2018-19396, CVE-2018-19395, CVE-2012-2376, CVE-2012-0831, CVE-2010-4409, CVE-2022-31813, CVE-2014-3597, CVE-2012-3450, CVE-2014-9652, CVE-2014-9653, CVE-2019-9023, CVE-2019-9020, CVE-2019-9021, CVE-2019-9024, CVE-2016-6291, CVE-2016-6290, CVE-2016-6292, CVE-2015-8874, CVE-2016-6294, CVE-2016-6297, CVE-2016-6296, CVE-2006-20001, CVE-2015-0273, CVE-2018-7584, CVE-2016-10397, CVE-2014-3669, CVE-2011-1092, CVE-2015-3307, CVE-2021-40438, CVE-2011-1176, CVE-2015-5590, CVE-2010-4699, CVE-2016-9935, CVE-2015-0287, CVE-2015-0286, CVE-2015-0289, CVE-2015-0288, CVE-2011-0753, CVE-2011-0755, CVE-2011-0754, CVE-2016-2554, CVE-2014-8176, CVE-2016-8612, CVE-2022-37436, CVE-2012-0788, CVE-2010-4657, CVE-2015-4000, CVE-2015-7803, CVE-2015-7804, CVE-2014-3479, CVE-2012-0789, CVE-2017-16642"
18,"CVE-2014-2324, CVE-2014-2323, CVE-2010-0295, CVE-2018-19052, CVE-2013-4559, CVE-2015-3200, CVE-2019-11072, CVE-2011-4362, CVE-2013-4560, CVE-2013-1427"
19,"CVE-2014-2324, CVE-2014-2323, CVE-2010-0295, CVE-2018-19052, CVE-2013-4559, CVE-2015-3200, CVE-2019-11072, CVE-2011-4362, CVE-2013-4560, CVE-2013-1427"
20,"CVE-2014-2324, CVE-2014-2323, CVE-2010-0295, CVE-2018-19052, CVE-2013-4559, CVE-2015-3200, CVE-2019-11072, CVE-2011-4362, CVE-2013-4560, CVE-2013-1427"
21,"CVE-2014-2324, CVE-2014-2323, CVE-2010-0295, CVE-2018-19052, CVE-2013-4559, CVE-2015-3200, CVE-2019-11072, CVE-2011-4362, CVE-2013-4560, CVE-2013-1427"
22,"CVE-2024-24795, CVE-2023-2650, CVE-2017-9798, CVE-2019-11045, CVE-2013-4365, CVE-2019-1563, CVE-2021-32785, CVE-2022-28330, CVE-2024-3566, CVE-2021-32791, CVE-2021-32792, CVE-2020-7071, CVE-2020-7070, CVE-2024-38476, CVE-2024-38477, CVE-2023-31122, CVE-2024-38475, CVE-2024-38472, CVE-2024-38473, CVE-2009-0796, CVE-2024-0727, CVE-2021-3449, CVE-2021-44790, CVE-2020-1927, CVE-2019-11049, CVE-2023-0286, CVE-2023-3817, CVE-2022-4900, CVE-2021-32786, CVE-2019-19246, CVE-2020-9490, CVE-2007-4723, CVE-2020-7060, CVE-2020-7061, CVE-2020-7062, CVE-2020-7063, CVE-2020-7064, CVE-2020-7065, CVE-2020-7066, CVE-2020-7067, CVE-2020-7068, CVE-2020-7069, CVE-2020-13938, CVE-2017-8923, CVE-2023-0215, CVE-2020-35452, CVE-2022-22719, CVE-2022-31628, CVE-2022-31629, CVE-2020-1934, CVE-2022-36760, CVE-2022-4304, CVE-2018-1333, CVE-2018-11763, CVE-2019-9517, CVE-2019-0217, CVE-2019-0196, CVE-2019-0190, CVE-2021-33193, CVE-2019-0211, CVE-2019-17567, CVE-2022-31813, CVE-2013-2220, CVE-2012-4360, CVE-2023-4807, CVE-2024-39573, CVE-2021-26690, CVE-2021-26691, CVE-2019-0220, CVE-2024-27316, CVE-2024-38474, CVE-2021-39275, CVE-2018-17189, CVE-2023-38709, CVE-2022-29404, CVE-2018-1312, CVE-2006-20001, CVE-2007-3205, CVE-2020-11993, CVE-2021-3711, CVE-2022-2068, CVE-2009-3766, CVE-2009-3767, CVE-2009-3765, CVE-2022-22721, CVE-2022-37454, CVE-2021-21707, CVE-2021-21706, CVE-2021-21705, CVE-2021-3712, CVE-2021-21703, CVE-2021-21702, CVE-2023-0466, CVE-2023-0464, CVE-2019-10098, CVE-2023-0465, CVE-2021-40438, CVE-2011-1176, CVE-2022-23943, CVE-2021-23840, CVE-2021-23841, CVE-2017-15710, CVE-2022-22720, CVE-2018-1302, CVE-2018-1303, CVE-2021-34798, CVE-2023-25690, CVE-2021-4160, CVE-2022-26377, CVE-2019-10081, CVE-2019-10082, CVE-2024-40898, CVE-2022-0778, CVE-2024-25117, CVE-2022-2097, CVE-2020-1971, CVE-2009-1390, CVE-2021-21704, CVE-2012-3526, CVE-2020-7059, CVE-2023-5678, CVE-2019-1547, CVE-2019-1549, CVE-2022-1292, CVE-2019-11048, CVE-2012-4001, CVE-2019-11046, CVE-2019-11047, CVE-2019-11044, CVE-2022-37436, CVE-2019-11043, CVE-2022-4450, CVE-2013-2765, CVE-2011-2688, CVE-2021-44224, CVE-2019-10092, CVE-2019-1552, CVE-2013-0941, CVE-2013-0942, CVE-2019-1551, CVE-2017-15715, CVE-2018-1301, CVE-2022-28615, CVE-2019-11050, CVE-2023-45802, CVE-2022-30556, CVE-2009-2299, CVE-2018-1283, CVE-2018-17199, CVE-2022-28614"
23,"CVE-2014-2324, CVE-2014-2323, CVE-2010-0295, CVE-2018-19052, CVE-2013-4559, CVE-2015-3200, CVE-2019-11072, CVE-2011-4362, CVE-2013-4560, CVE-2013-1427"
24,"CVE-2020-20262, CVE-2023-32154, CVE-2020-20266, CVE-2020-20267, CVE-2020-20264, CVE-2020-20265, CVE-2019-13074, CVE-2022-36522, CVE-2020-20225, CVE-2020-10364, CVE-2021-36614, CVE-2020-20220, CVE-2020-20221, CVE-2019-15055, CVE-2022-45315, CVE-2022-45313, CVE-2019-16160, CVE-2019-3977, CVE-2023-30800, CVE-2019-3978, CVE-2019-3979, CVE-2020-20021, CVE-2020-20253, CVE-2020-20252, CVE-2020-20250, CVE-2021-3014, CVE-2020-20254, CVE-2020-20217, CVE-2024-54772, CVE-2021-36613, CVE-2020-20230, CVE-2018-5951, CVE-2019-3976, CVE-2019-3943, CVE-2023-30799, CVE-2020-11881, CVE-2019-13954, CVE-2019-13955, CVE-2019-3924, CVE-2020-20249, CVE-2020-20247"
25,"CVE-2014-2324, CVE-2014-2323, CVE-2010-0295, CVE-2018-19052, CVE-2013-4559, CVE-2015-3200, CVE-2019-11072, CVE-2011-4362, CVE-2013-4560, CVE-2013-1427"
26,"CVE-2014-2324, CVE-2014-2323, CVE-2010-0295, CVE-2018-19052, CVE-2013-4559, CVE-2015-3200, CVE-2019-11072, CVE-2011-4362, CVE-2013-4560, CVE-2013-1427"
27,"CVE-2023-51385, CVE-2016-20012, CVE-2018-15919, CVE-2025-32728, CVE-2021-36368, CVE-2025-26465, CVE-2023-51767, CVE-2018-20685, CVE-2018-15473, CVE-2020-14145, CVE-2020-15778, CVE-2023-48795, CVE-2023-38408, CVE-2007-2768, CVE-2008-3844, CVE-2019-6111, CVE-2019-6110, CVE-2021-41617, CVE-2019-6109"
28,"CVE-2014-2324, CVE-2014-2323, CVE-2010-0295, CVE-2018-19052, CVE-2013-4559, CVE-2015-3200, CVE-2019-11072, CVE-2011-4362, CVE-2013-4560, CVE-2013-1427"
29,"CVE-2023-51385, CVE-2016-20012, CVE-2018-15919, CVE-2025-32728, CVE-2021-36368, CVE-2025-26465, CVE-2023-51767, CVE-2018-20685, CVE-2018-15473, CVE-2020-14145, CVE-2020-15778, CVE-2023-48795, CVE-2023-38408, CVE-2007-2768, CVE-2008-3844, CVE-2019-6111, CVE-2019-6110, CVE-2021-41617, CVE-2019-6109"
30,"CVE-2008-2939, CVE-2012-0027, CVE-2017-9798, CVE-2004-1082, CVE-2013-4365, CVE-2006-7250, CVE-2016-2176, CVE-2006-5752, CVE-2023-31122, CVE-2009-0796, CVE-2011-4108, CVE-2011-4109, CVE-2007-4723, CVE-2010-4252, CVE-2006-3918, CVE-2011-2688, CVE-2009-3555, CVE-2016-0703, CVE-2015-3195, CVE-2021-4044, CVE-2012-0884, CVE-2007-6388, CVE-2021-44790, CVE-2016-2109, CVE-2016-2108, CVE-2016-2107, CVE-2016-2106, CVE-2009-0789, CVE-2014-0195, CVE-2009-3245, CVE-2011-4317, CVE-2021-34798, CVE-2001-1556, CVE-2007-3304, CVE-2003-0987, CVE-2007-4995, CVE-2011-3210, CVE-2022-28330, CVE-2022-31813, CVE-2012-4360, CVE-2014-0221, CVE-2010-0433, CVE-2015-0286, CVE-2010-0742, CVE-2010-5298, CVE-2004-0940, CVE-2003-0993, CVE-2004-0942, CVE-2006-3747, CVE-2010-4180, CVE-2012-1165, CVE-2014-8275, CVE-2009-4355, CVE-2022-22719, CVE-2022-30556, CVE-2021-39275, CVE-2011-4577, CVE-2011-4576, CVE-2013-2765, CVE-2023-38709, CVE-2011-1945, CVE-2022-29404, CVE-2004-0174, CVE-2011-3368, CVE-2009-0590, CVE-2014-3505, CVE-2014-3506, CVE-2014-3507, CVE-2014-0224, CVE-2009-3766, CVE-2009-3767, CVE-2009-3765, CVE-2014-3508, CVE-2022-22721, CVE-2022-22720, CVE-2009-1378, CVE-2014-3567, CVE-2004-0263, CVE-2015-0228, CVE-2009-1377, CVE-2021-40438, CVE-2011-1176, CVE-2007-5000, CVE-2008-5077, CVE-2015-0209, CVE-2018-1301, CVE-2018-1302, CVE-2018-1303, CVE-2013-0166, CVE-2014-3470, CVE-2013-0169, CVE-2015-0204, CVE-2007-6750, CVE-2014-3571, CVE-2014-3570, CVE-2014-3572, CVE-2008-0166, CVE-2010-0010, CVE-2007-5135, CVE-2015-0287, CVE-2024-40898, CVE-2015-0289, CVE-2015-0288, CVE-2016-7056, CVE-2014-3510, CVE-2014-0076, CVE-2013-5697, CVE-2015-1789, CVE-2015-1788, CVE-2009-2409, CVE-2009-1390, CVE-2005-3352, CVE-2014-8176, CVE-2012-3526, CVE-2011-4354, CVE-2014-3566, CVE-2016-8612, CVE-2017-3735, CVE-2009-2299, CVE-2014-3568, CVE-2012-2333, CVE-2015-0292, CVE-2015-0293, CVE-2012-4001, CVE-2022-37436, CVE-2007-3108, CVE-2017-9788, CVE-2015-1790, CVE-2015-1791, CVE-2015-1792, CVE-2003-0542, CVE-2012-2110, CVE-2004-2343, CVE-2009-1386, CVE-2009-1387, CVE-2015-4000, CVE-2013-0941, CVE-2013-0942, CVE-2008-7270, CVE-2013-6449, CVE-2011-4619, CVE-2020-7042, CVE-2020-7043, CVE-2020-7041, CVE-2004-0492, CVE-2003-0020, CVE-2006-20001, CVE-2011-1473, CVE-2022-28615, CVE-2022-28614, CVE-2016-0704"
31,"CVE-2008-3844, CVE-2025-26466, CVE-2025-26465, CVE-2023-51767, CVE-2023-48795, CVE-2007-2768, CVE-2025-32728, CVE-2023-51384, CVE-2023-51385, CVE-2024-6387"
32,"CVE-2023-51385, CVE-2016-20012, CVE-2018-15919, CVE-2025-32728, CVE-2021-36368, CVE-2025-26465, CVE-2023-51767, CVE-2018-20685, CVE-2018-15473, CVE-2020-14145, CVE-2020-15778, CVE-2023-48795, CVE-2023-38408, CVE-2007-2768, CVE-2008-3844, CVE-2019-6111, CVE-2019-6110, CVE-2021-41617, CVE-2019-6109"
33,"CVE-2008-2939, CVE-2012-0027, CVE-2017-9798, CVE-2004-1082, CVE-2013-4365, CVE-2006-7250, CVE-2016-2176, CVE-2006-5752, CVE-2023-31122, CVE-2009-0796, CVE-2011-4108, CVE-2011-4109, CVE-2007-4723, CVE-2010-4252, CVE-2006-3918, CVE-2011-2688, CVE-2009-3555, CVE-2016-0703, CVE-2015-3195, CVE-2021-4044, CVE-2012-0884, CVE-2007-6388, CVE-2021-44790, CVE-2016-2109, CVE-2016-2108, CVE-2016-2107, CVE-2016-2106, CVE-2009-0789, CVE-2014-0195, CVE-2009-3245, CVE-2011-4317, CVE-2021-34798, CVE-2001-1556, CVE-2007-3304, CVE-2003-0987, CVE-2007-4995, CVE-2011-3210, CVE-2022-28330, CVE-2022-31813, CVE-2012-4360, CVE-2014-0221, CVE-2010-0433, CVE-2015-0286, CVE-2010-0742, CVE-2010-5298, CVE-2004-0940, CVE-2003-0993, CVE-2004-0942, CVE-2006-3747, CVE-2010-4180, CVE-2012-1165, CVE-2014-8275, CVE-2009-4355, CVE-2022-22719, CVE-2022-30556, CVE-2021-39275, CVE-2011-4577, CVE-2011-4576, CVE-2013-2765, CVE-2023-38709, CVE-2011-1945, CVE-2022-29404, CVE-2004-0174, CVE-2011-3368, CVE-2009-0590, CVE-2014-3505, CVE-2014-3506, CVE-2014-3507, CVE-2014-0224, CVE-2009-3766, CVE-2009-3767, CVE-2009-3765, CVE-2014-3508, CVE-2022-22721, CVE-2022-22720, CVE-2009-1378, CVE-2014-3567, CVE-2004-0263, CVE-2015-0228, CVE-2009-1377, CVE-2021-40438, CVE-2011-1176, CVE-2007-5000, CVE-2008-5077, CVE-2015-0209, CVE-2018-1301, CVE-2018-1302, CVE-2018-1303, CVE-2013-0166, CVE-2014-3470, CVE-2013-0169, CVE-2015-0204, CVE-2007-6750, CVE-2014-3571, CVE-2014-3570, CVE-2014-3572, CVE-2008-0166, CVE-2010-0010, CVE-2007-5135, CVE-2015-0287, CVE-2024-40898, CVE-2015-0289, CVE-2015-0288, CVE-2016-7056, CVE-2014-3510, CVE-2014-0076, CVE-2013-5697, CVE-2015-1789, CVE-2015-1788, CVE-2009-2409, CVE-2009-1390, CVE-2005-3352, CVE-2014-8176, CVE-2012-3526, CVE-2011-4354, CVE-2014-3566, CVE-2016-8612, CVE-2017-3735, CVE-2009-2299, CVE-2014-3568, CVE-2012-2333, CVE-2015-0292, CVE-2015-0293, CVE-2012-4001, CVE-2022-37436, CVE-2007-3108, CVE-2017-9788, CVE-2015-1790, CVE-2015-1791, CVE-2015-1792, CVE-2003-0542, CVE-2012-2110, CVE-2004-2343, CVE-2009-1386, CVE-2009-1387, CVE-2015-4000, CVE-2013-0941, CVE-2013-0942, CVE-2008-7270, CVE-2013-6449, CVE-2011-4619, CVE-2020-7042, CVE-2020-7043, CVE-2020-7041, CVE-2004-0492, CVE-2003-0020, CVE-2006-20001, CVE-2011-1473, CVE-2022-28615, CVE-2022-28614, CVE-2016-0704"
34,"CVE-2016-10735, CVE-2018-14040, CVE-2018-14042, CVE-2024-6484, CVE-2019-8331, CVE-2018-20676, CVE-2018-20677"
35,"CVE-2022-45315, CVE-2018-5951, CVE-2021-3014, CVE-2024-54772, CVE-2022-45313"
